Name,UrlFBref
Jeremie Frimpong,https://fbref.com/en/players/74f2e748/Jeremie-Frimpong
Antonio Rudiger,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
Florian Thauvin,https://fbref.com/en/players/2b9fdeea/Florian-Thauvin
Samu Omorodion,https://fbref.com/en/players/dc44b03c/Samu-Omorodion
Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher
Inaki Williams,https://fbref.com/en/players/6a99e0b1/Inaki-Williams
Sergio Ramos,https://fbref.com/en/players/08511d65/Sergio-Ramos
Alessio Romagnoli,https://fbref.com/en/players/3ead85f9/Alessio-Romagnoli
Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen
Joshua Zirkzee,https://fbref.com/en/players/028e70b9/Joshua-Zirkzee
Lucas Ocampos,https://fbref.com/en/players/a08b974a/Lucas-Ocampos
Willian,https://fbref.com/en/players/8b9ebd03/Willian
Pau Torres,https://fbref.com/en/players/532e1e4f/Pau-Torres
Julian Brandt,https://fbref.com/en/players/a167537f/Julian-Brandt
Patrik Schick,https://fbref.com/en/players/5d4f7d61/Patrik-Schick
Franck Ribery,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
Thomas Partey,https://fbref.com/en/players/529f49ab/Thomas-Partey
Romeo Lavia,https://fbref.com/en/players/ecad9aa5/Romeo-Lavia
Matteo Guendouzi,https://fbref.com/en/players/5ea8ef20/Matteo-Guendouzi
Adrien Rabiot,https://fbref.com/en/players/8794e251/Adrien-Rabiot
Fred,https://fbref.com/en/players/b853e0ad/Fred
Nahuel Molina,https://fbref.com/en/players/23610943/Nahuel-Molina
Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena
Fermin Lopez,https://fbref.com/en/players/c1fe5f0b/Fermin-Lopez
Alex Sandro,https://fbref.com/en/players/0d82903c/Alex-Sandro
Georginio Wijnaldum,https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum
Ruben Neves,https://fbref.com/en/players/44bfb6c5/Ruben-Neves
Fikayo Tomori,https://fbref.com/en/players/7edfbb8a/Fikayo-Tomori
Ben Chilwell,https://fbref.com/en/players/d2424d1b/Ben-Chilwell
Tammy Abraham,https://fbref.com/en/players/f586779e/Tammy-Abraham
Fernando Torres,https://fbref.com/en/players/bdf7b97d/Fernando-Torres
Gerard Pique,https://fbref.com/en/players/adfc9123/Gerard-Pique
Santiago Gimenez,https://fbref.com/en/players/37337aea/Santiago-Gimenez
David Silva,https://fbref.com/en/players/e2716bd0/David-Silva
Murillo,https://fbref.com/en/players/1704b0b8/Murillo
Ibrahima Konate,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
Paco Alcacer,https://fbref.com/en/players/a7a9d95a/Paco-Alcacer
Renan Lodi,https://fbref.com/en/players/ed9f7cfe/Renan-Lodi
Jose Luis Gaya,https://fbref.com/en/players/b05e2dbd/Jose-Luis-Gaya
Matheus Cunha,https://fbref.com/en/players/dc62b55d/Matheus-Cunha
Ferran Torres,https://fbref.com/en/players/9e1035f8/Ferran-Torres
Hulk,https://fbref.com/en/players/33a1f72e/Hulk
Robin van Persie,https://fbref.com/en/players/3fcab3a8/Robin-van-Persie
Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey
Denis Zakaria,https://fbref.com/en/players/384d58d9/Denis-Zakaria
Alessandro Buongiorno,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno
Exequiel Palacios,https://fbref.com/en/players/e82adcab/Exequiel-Palacios
Pierre Hojbjerg,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg
Kenan Yildiz,https://fbref.com/en/players/d8cda243/Kenan-Yildiz
Hakan Calhanoglu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu
Iyenoma Udogie,https://fbref.com/en/players/7cd520e8/Iyenoma-Udogie
Pedro Porro,https://fbref.com/en/players/27d0a506/Pedro-Porro
Johan Bakayoko,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko
Marcos Alonso,https://fbref.com/en/players/f4290206/Marcos-Alonso
Tomas Soucek,https://fbref.com/en/players/6613c819/Tomas-Soucek
Aaron Ramsey,https://fbref.com/en/players/ef619b0b/Aaron-Ramsey
Ivan Perisic,https://fbref.com/en/players/6fe90922/Ivan-Perisic
Alex Grimaldo,https://fbref.com/en/players/b1f4086c/Alex-Grimaldo
Leonardo Bonucci,https://fbref.com/en/players/52ec54d0/Leonardo-Bonucci
Destiny Udogie,https://fbref.com/en/players/7cd520e8/Destiny-Udogie
Dani Ceballos,https://fbref.com/en/players/c0617e2b/Dani-Ceballos
Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
Caglar Soyuncu,https://fbref.com/en/players/21166ff4/Caglar-Soyuncu
Thorgan Hazard,https://fbref.com/en/players/50871bcc/Thorgan-Hazard
Jurrien Timber,https://fbref.com/en/players/41034650/Jurrien-Timber
Arda Guler,https://fbref.com/en/players/3741ca58/Arda-Guler
Dominic Calvert Lewin,https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin
Malcom,https://fbref.com/en/players/6853490f/Malcom
Jerome Boateng,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
Dominic Solanke,https://fbref.com/en/players/e77dc3b2/Dominic-Solanke
Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan
Sebastien Haller,https://fbref.com/en/players/ba115a40/Sebastien-Haller
Edmond Tapsoba,https://fbref.com/en/players/a73c8f95/Edmond-Tapsoba
Antonio Silva,https://fbref.com/en/players/8f0435c7/Antonio-Silva
Sven Botman,https://fbref.com/en/players/ccce7025/Sven-Botman
Angel Correa,https://fbref.com/en/players/01eb744d/Angel-Correa
Corentin Tolisso,https://fbref.com/en/players/652d4c37/Corentin-Tolisso
Wesley Sneijder,https://fbref.com/en/players/ad625c12/Wesley-Sneijder
Duvan Zapata,https://fbref.com/en/players/d3de9af0/Duvan-Zapata
Lorenzo Pellegrini,https://fbref.com/en/players/4a5a45c7/Lorenzo-Pellegrini
Kostas Manolas,https://fbref.com/en/players/c707411f/Kostas-Manolas
Radja Nainggolan,https://fbref.com/en/players/1f9328da/Radja-Nainggolan
Andre Onana,https://fbref.com/en/players/e9c0c1b2/Andre-Onana
Victor Boniface,https://fbref.com/en/players/b146275b/Victor-Boniface
Arturo Vidal,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
Morten Hjulmand,https://fbref.com/en/players/d4456fb3/Morten-Hjulmand
Federico Bernardeschi,https://fbref.com/en/players/ee93c1a9/Federico-Bernardeschi
Mateo Kovacic,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
